value,key,tc
Address to be used for appointment purposes,OLI_ADTYPE_APPTPURPOSE,13
Agent customer service address,OLI_ADTYPE_AGENTCSA,24
Billing Mailing,OLI_ADTYPE_BILLMAIL,26
Billing Return To Address,OLI_ADTYPE_BILLINGRETTO,14
Business,OLI_ADTYPE_BUS,2
Business Shipping Address,OLI_ADTYPE_BUSSHIPPING,16
Claim Center,OLI_ADTYPE_CLAIMCENTER,18
Client customer service address,OLI_ADTYPE_CLIENTCSA,25
Commission Mailing Address,OLI_ADTYPE_COMM,21
Headquarters Address,OLI_ADTYPE_HDQRTRS,27
Individual Work Location,OLI_ADTYPE_INDVWORKLOC,15
Mailing,OLI_ADTYPE_MAILING,17
Other,OLI_OTHER,2147483647
Overnight Mail Address,OLI_ADTYPE_OVERNIGHT,19
Policy Mailing Address,OLI_ADTYPE_POLMAIL,20
Previous,OLI_ADTYPE_PREVIOUS,12
Previous Business Address,OLI_ADTYPE_PREVBUS,28
Previous Residence Address,OLI_ADTYPE_PREVRES,29
Primary Address,OLI_ADTYPE_PRIMARY,30
Regional Office,OLI_ADTYPE_REGOFFICE,9
Residence,OLI_ADTYPE_HOME,1
Secondary or Alternate Address,OLI_ADTYPE_ALTERNATE,31
Temporary,OLI_ADTYPE_TEMP,11
Unknown,OLI_UNKNOWN,0
Vacation,OLI_ADTYPE_VAC,3
