value,key,tc,definition
1035 Cost Basis,OLI_ATTACH_COSTBASIS,152,	
1035 Exchange Memorandums,OLI_ATTACH_1035EXCHMEMO,153,	
1035 Letter/Check,OLI_ATTACH_1035LETTERCHK,156,	
1035 Loan Transfer,OLI_ATTACH_1035RESQ,154,	
1035 Minimum Deposit ResQ Worksheet,OLI_ATTACH_1035LOANTRAN,155,	
1035 Paperwork,OLI_ATTACH_1035PAPERWK,151,1035 Exchange Form, providing details of a replacement involving a transfer of funds between carriers.	
1035 Surrender,OLI_ATTACH_DISB1035SURR,211,	
1035 Tax Advantage,OLI_ATTACH_1035TAXADV,157,	
1099R,OLI_ATTACH_TAX1099R,158,Tax Form	
5498,OLI_ATTACH_TAX5498,159,Tax Form	
Account Opening Form,OLI_ATTACH_ACCTOPEN,2550010,	
Acknowledgement of Arbitration Agreement,OLI_ATTACH_ACK_ARB_AGRMNT,508,The acknowledgement of arbitration agreement is used in certain states. It is used to get the client's agreement to attempt arbitration.	
ACORD 660 - Ins Agent Disclosure For Annuities,OLI_ATTACH_ACORD660,545,ACORD 660 - Insurance Agent (Producer) Disclosure For AnnuitiesThis form follows the model rule from the National Association of Insurance Commissioners (NAIC) MDL #275, appendix A.	
ACORD 701 - Life Application Part 1 Form,OLI_ATTACH_ACORD701,54,	
ACORD 702 - Life Application Part 2 Form,OLI_ATTACH_ACORD702,55,	
ACORD 703 - Medical Examiner's Report Form,OLI_ATTACH_ACORD703,56,	
ACORD 731 - Additional Unions Schedule,OLI_ATTACH_ACORD731,492,Used to identify additional unions that do not fit on the standard 785 basic RFP form.	
ACORD 732 - Additional Locations Schedule,OLI_ATTACH_ACORD732,493,Used to identify additional locations that do not fit on the standard 785 basic RFP form.	
ACORD 733 - Covered Affiliates Schedule,OLI_ATTACH_ACORD733,494,Used to identify additional covered affiliates that do not fit on the standard 785 basic RFP form.	
ACORD 751 - Authorization to Obtain and Disclose Information Form,OLI_ATTACH_ACORD751,57,	
ACORD 752 - Certificate of Non-Illustration Form,OLI_ATTACH_ACORD752,58,	
ACORD 753 - Pre-Notice Form,OLI_ATTACH_ACORD753,59,	
ACORD 754 - Additional Other Proposed Insured Form,OLI_ATTACH_ACORD754,60,	
ACORD 755 - Additional Owners Form,OLI_ATTACH_ACORD755,61,	
ACORD 756 - Additional Beneficiaries Form,OLI_ATTACH_ACORD756,62,	
ACORD 757 - HIV Antibody / Antigen Consent and Testing Form,OLI_ATTACH_ACORD757,63,	
ACORD 758 - Producer Appointment Sheet Form,OLI_ATTACH_ACORD758,64,	
ACORD 759 - Important Notice Regarding Replacement Form,OLI_ATTACH_ACORD759,65,	
ACORD 761 - Policy Effective Date Supplement - Date of Policy Application Form,OLI_ATTACH_ACORD761,66,	
ACORD 762 - Policy Effective Date Supplement - Date of Policy Delivery Form,OLI_ATTACH_ACORD762,67,	
ACORD 763 - Policy Effective Date Supplement - Date Policy Issued Form,OLI_ATTACH_ACORD763,68,	
ACORD 764 - Fair Credit Reporting Act Disclosure Form,OLI_ATTACH_ACORD764,69,	
ACORD 765 - Agent's Report Form,OLI_ATTACH_ACORD765,70,	
ACORD 766 - Product Comparison Form,OLI_ATTACH_ACORD766,71,	
ACORD 767 - Temporary Insurance Agreement Form,OLI_ATTACH_ACORD767,72,	
ACORD 785 - Request for Proposal,OLI_ATTACH_ACORD785,495,The basic non line of business specific form used to submit request for proposals.	
ACORD 786 - Request For Proposal Life Supplement,OLI_ATTACH_ACORD786,496,Used to collect information necessary to submit a request for proposal for Life insurance.	
ACORD 787 - Request For Proposal Short Term Disability Supplement,OLI_ATTACH_ACORD787,497,Used to collect information necessary to submit a request for proposal for Short Term Disability insurance.	
ACORD 788 - Request For Proposal Long Term Disability Supplement,OLI_ATTACH_ACORD788,498,Used to collect information necessary to submit a request for proposal for Long Term Disability insurance.	
