tc,value,key,definition
1009900009,Custodial,,
1009900001,Friend,,
1009900003,Irrevocable Trustee,,
16,Brother,,
17,Sister,,
1009900002,Insureds Company,,
30,Ex-Spouse,,
9999,unknown,,
9,Spouse,,
20,Parents,,
20,Parents,,
2,Estate,,
13,Children,,
13,Children,,
13,Children,,
51,Corporation,,
10,Domestic Partner,,
1000500005,Business Associate,,
1000500006,Business Partner,,
1000500007,Charity,,
1000500008,Employer,,
1000500009,Fiancee,,
1000500010,Grandchild,,
1000500011,Grandparent,,
1000500012,Non Relative,,
1000500013,Other Relative,,
1000500013,Other Relative,,
1000500014,Stepchild,,
7,Trust,,
2147483647,Other,,
4,Creditors,,
2147483647,Other,,
2147483647,Other,,
2147483647,Other,,
2147483647,Other,,
2147483647,Other,,
1000500013,Other Relative,,
1009900031,Grandson,,
1009900012,Granddaughter,,
