value,key,tc,definition
Adjustable,OLI_DBOPT_ADJ,14,
Decreasing based on a commuted value,OLI_DBOPT_DECCOMMUTED,10,
Decreasing DB based on client specified schedule.,OLI_DBOPT_DECSPEC,9,
Increasing (DB = Face + Cash),OLI_DBOPT_INCR,2,
Increasing (DB = Face + Return of Cumulative Premiums),OLI_DBOPT_RETPREM,3,
Increasing (DB = Face Amount + interest percent),OLI_DBOPT_FACECPI,15,
Increasing (DB = Return of Cumulative Premiums),OLI_DBOPT_RETPREMONLY,6,
Increasing (Face + Compound Percent),OLI_DBOPT_COMPPCT,5,
Increasing (Face + Invest AV),OLI_DBOPT_FACEANDINV,16,
Increasing (Face + Simple Percent),OLI_DBOPT_SIMPPCT,4,
Increasing (Face + Sum of Deposits with Interest),OLI_DBOPT_RETDEP,7,
Increasing by Greater of Invest AV or Net Deposits,OLI_DBOPT_FACEANDINVORDEP,12,
Increasing Choice (Greater of sum insured and FV),OLI_DBOPT_FACECOMPORINV,13,
Increasing DB based on client specified schedule.,OLI_DBOPT_INCSPEC,8,
Level (DB = Face),OLI_DBOPT_LEVEL,1,
Level Choice (DB=greater of Face or Investment AV),OLI_DBOPT_GTFACEORINV,11,
Other,OLI_OTHER,2147483647,
Unknown,OLI_UNKNOWN,0,
