value,key,tc,definition
Accelerated Benefit,OLI_OPTTYPE_ABE,1
Accelerated Benefit for Cognitive Impairment,OLI_OPTTYPE_ABCOGIMP,153
Accelerated Benefit for Nursing Home Care,OLI_OPTTYPE_ABNURSINGHOME,152
Accidental Death and Dismemberment,OLI_OPTTYPE_ADD,3
Accidental Death Benefit,OLI_OPTTYPE_ADB,2
Accidental Death Benefit - Joint Insured Only,OLI_OPTTYPE_ADBJOINT,43
Accounting Benefit,OLI_OPTTYPE_ACCOUNTINGBNFT,126
Additional Coverage Scheduled Option,OLI_OPTTYPE_ADDSCHED,74
Adjustable Survivorship Life,OLI_OPTTYPE_ADJSURVL,61
Affiliation Discount,OLI_OPTTYPE_AFFILIATION,55
AIDS,OLI_OPTTYPE_AIDS,47
Airbag Benefit,OLI_OPTTYPE_AIRBAG,103
Alternate Cash Surrender Value,OLI_OPTTYPE_ALTCASHSURRVAL,127
Alternative Cash Value Rider,OLI_OPTTYPE_ALTCV,137
Assured Distribution Option,OLI_OPTTYPE_ASSUREDDISTOPTION,138
Auto Adjust of death benefit for tax exempt status,OLI_OPTTYPE_AUTOADJUST,132
Automatic Fixed Percentage Premium Increase,OLI_OPTTYPE_AFPPREMINC,52
Automatic Increase Option,OLI_OPTTYPE_AUTOINC,4
Automatic Index Linked Premium Increase,OLI_OPTTYPE_AILPREMINC,51
Aviation Exclusion Rider,OLI_OPTTYPE_AVIATION,70
Beneficiary Insurance,OLI_OPTTYPE_BENEINSUR,19
Benefit Distribution Rider,OLI_OPTTYPE_BDR,139
Benefit Increase Provision,OLI_OPTTYPE_BINCPROV,32
Benefit Selection Option,OLI_OPTTYPE_BSO,140
Business Value Increase,OLI_OPTTYPE_BUSVALUEINC,25
Cash Value Transfer Option,OLI_OPTTYPE_CVTRANSFER,39
Change of Insured,OLI_OPTTYPE_CHGINS,26
Charge to Earnings Elimination,OLI_OPTTYPE_CHGEARNELIM,23
Charitable Giving Benefit,OLI_OPTTYPE_CHARITY,141
Charitable Giving Benefit - specified amount,OLI_OPTTYPE_CHARITYSPECAMT,157
Childcare Benefit,OLI_OPTTYPE_CHILDCARE,108
Childhood Disease,OLI_OPTTYPE_CHILDDISEASE,40
Children's Conversion Option,OLI_OPTTYPE_EXPCHILD,78
Children's Term Benefit,OLI_OPTTYPE_CTB,6
Chronic Illness Rider,OLI_OPTTYPE_CHRONICILL,142
Convalescent Care Benefits Rider,OLI_OPTTYPE_CONVALESCARE,143
Cost of Living Increase or inflation guard,OLI_OPTTYPE_COLI,5
Critical illness premium waiver,OLI_OPTTYPE_WPCRIT,57
Death, Disability or Critical Illness,OLI_OPTTYPE_DBDISCRITILL,50
Death Benefit,OLI_OPTTYPE_DB,48
Death Benefit Guarantee,OLI_OPTTYPE_DEATHBENGUAR,144
Default Premium Payment Option,OLI_OPTTYPE_DEFPAYMNT,33
Designate Second Life,OLI_OPTTYPE_DSL,64
Disability Benefit,OLI_OPTTYPE_DIB,7
Disability or Critical Illness,OLI_OPTTYPE_DISCRITILL,49
Disappearance,OLI_OPTTYPE_DISAPP,105
Double/Triple Indemnity,OLI_OPTTYPE_DBLINDEM,18
Downside Protection Rider,OLI_OPTTYPE_DOWNSIDEPROTECT,145
Dread Disease,OLI_OPTTYPE_DRDISEASE,101
