value,key,tc,definition
Additional Agent,OLI_PARTICROLE_ADDAGENT,16,
Annuitant,OLI_PARTICROLE_ANNUITANT,27,
Annuitant's Spouse,OLI_PARTICROLE_ANNSPOUSE,44,
Applicant,OLI_PARTICROLE_APPLICANT,22,
Assignee,OLI_PARTICROLE_UNKNOWNASSIGNEE,53,
Authorized Signatory,OLI_PARTICROLE_AUTHSIG,94,
Beneficiary - Assignee,OLI_PARTICROLE_BENEASSIGNEE,11,
Beneficiary - Contingent,OLI_PARTICROLE_BENECONT,9,
Beneficiary Group Member,OLI_PARTICROLE_BENEGROUPMEM,89,
Beneficiary - Primary,OLI_PARTICROLE_BENE,7,
Beneficiary - Tertiary,OLI_PARTICROLE_BENETERT,10,
Borrower,OLI_PARTICROLE_BORROWER,79,
Both Annuitant and Owner,OLI_PARTICROLE_OWNERANNUITANT,36,
Business Partner,OLI_PARTICROLE_BUSPARTNER,8,
Claimant,OLI_PARTICROLE_CLAIMANT,84,
Claimant Proxy,OLI_PARTICROLE_CLAIMPROXY,60,
Claim Approver,OLI_PARTICROLE_CLAIMAPPR,77,
Claim Processor,OLI_PARTICROLE_CLAIMPROCESSOR,74,
Claims Clerk,OLI_PARTICROLE_CLAIMSCLERK,76,
Claims Manager,OLI_PARTICROLE_CLAIMSMANAGER,75,
Client Relationship Unit Associate,OLI_PARTICROLE_CRUASSOC,41,
Co-Annuitant,OLI_PARTICROL_COANNUITANT,45,
Collateral Assignee,OLI_PARTICROLE_ASSIGNEE,34,
Conservator,OLI_PARTICROLE_CONSERVATOR,51,
Contingent Annuitant,OLI_PARTICROLE_ANNUITANTCONTINGENT,38,
Contingent Owner,OLI_PARTICROLE_OWNERCONT,29,
Coordinator of Benefits,OLI_PARTICROLE_COB,80,
Correspondence Recipient,OLI_PARTICROLE_CORRESPONDENCE,14,
Counter Signing Agent,OLI_PARTICROLE_CTRSIGNAGENT,21,
Coverage Insured,OLI_PARTICROLE_COVINSURED,92,
Coverage Joint Insured,OLI_PARTICROLE_COVJTINSURED,93,
Custodian,OLI_PARTICROLE_CUSTODIAN,24,
Designated Party,OLI_PARTICROLE_DESIGPARTY,90,
Doctor/Physician,OLI_PARTICROLE_DOCTOR,82,
Driver,OLI_PARTICROLE_DRIVER,64,
Enrollee,OLI_PARTICROLE_ENROLLEE,37,
Excluded Driver,OLI_PARTICROLE_EXCLUDEDDRIVER,65,
Executor,OLI_PARTICROLE_EXECUTOR,85,
Grantor,OLI_PARTICROLE_GRANTOR,23,
Insured Child,OLI_PARTICROLE_CHILD,3,
Insured Dependent,OLI_PARTICROLE_DEP,4,
Insured Spouse,OLI_PARTICROLE_SPOUSE,5,
Investigator,OLI_PARTICROLE_INVESTIGATOR,56,
Joint Annuitant,OLI_PARTICROLE_JNTANNUITANT,28,
Joint Applicant,OLI_PARTICROLE_COAPPLICANT,73,
Joint Contingent Owner,OLI_PARTICROLE_JOINTCONT,43,
Joint Insured,OLI_PARTICROLE_JOINT,6,
Joint Owner,OLI_PARTICROLE_JOINTOWNER,50,
Lab Technician,OLI_PARTICROLE_LABTECH,81,
Lawyer/Attorney,OLI_PARTICROLE_LAWYER,83,
Lessor,OLI_PARTICROLE_LESSOR,66,
Lienholder,OLI_PARTICROLE_LIENHOLDER,72,
Loss First Notifier,OLI_PARTICROLE_FIRSTNOTIFIER,59,
Loss Payee,OLI_PARTICROLE_LOSSPAYEE,63,
Medical Examiner,OLI_PARTICROLE_MEDEXAMINER,58,
Mortgagee,OLI_PARTICROLE_MORTGAGEE,62,
Other,OLI_OTHER,2147483647,
Other Billing Notice Recipient,OLI_PARTICROLE_OTHBILLREC,26,
Other Insured,OLI_PARTICROLE_OTHINSURED,2,
Other Interested Party,OLI_PARTICROLE_OTHRINTERESTED,67,
Other Resident,OLI_PARTICROLE_OTRRESIDENT,68,
Owner,OLI_PARTICROLE_OWNER,18,
Owner if Person,OLI_PARTICROLE_PERSONOWN,42,
Parent or Guardian signing for minor or incompetent person.,OLI_PARTICROLE_PARENTGUARDIAN,20,
Payee,OLI_PARTICROLE_PAYEE,13,
Payor,OLI_PARTICROLE_PAYOR,12,
Physician,OLI_PARTICROLE_ATTENDPHYSICIAN,57,
Plan Administrator,OLI_PARTICROLE_PLANADMIN,25,
Plan Sponsor,OLI_PARTICROLE_PLANSPONSOR,39,
Power of Attorney,OLI_PARTICROLE_POWATTY,33,
Primary Agent,OLI_PARTICROLE_PRIMAGENT,15,
Primary Insured,OLI_PARTICROLE_PRIMARY,1,
PVT Met Dental Provider,OLI_PARTICROLE_DENTAL_PROVIDER,35,
Renter,OLI_PARTICROLE_RENTER,70,
Resident,OLI_PARTICROLE_RESIDENT,71,
Servicing Agent,OLI_PARTICROLE_SERVAGENT,30,
Statement Recipient,OLI_PARTICROLE_STMTRECIP,32,
Succeeding Beneficiary,OLI_PARTICROLE_SUCCEEDBENE,78,
Successor Custodian,OLI_PARTICROLE_SUCCESSORCUSTOD,69,
Successor Guardian,OLI_PARTICROLE_SUCCESSGUARDIAN,87,
Successor Trustee,OLI_PARTICROLE_SUCCESSTRUSTEE,88,
Third Party Countersignature,OLI_PARTICROLE_3RDPRTYCNTRSGN,91,
Third Party Recipient,OLI_PARTICROLE_3RDPARTYRECIP,31,
Trustee,OLI_PARTICROLE_TRUSTEE,19,
Trusteed Party,OLI_PARTICROLE_TRUSTEEDPARTY,86,
Unborn child of insured,OLI_PARTICROLE_UNBORNCHILD,52,
Underwriter,OLI_PARTICROLE_UNDERWRITER,40,
Unknown,OLI_UNKNOWN,0,
Witness,OLI_PARTICROLE_WITNESS,17,
