value,key,tc
ABDOMINAL RADIOLOGY,OLI_PHYSPEC_AR,11
ABDOMINAL SURGERY,OLI_PHYSPEC_AS,12
ADDICTION MEDICINE,OLI_PHYSPEC_ADM,3
ADDICTION PSYCHIATRY,OLI_PHYSPEC_ADP,4
ADOLESCENT MEDICINE,OLI_PHYSPEC_ADL,2
ADOLESCENT MEDICINE (IM),OLI_PHYSPEC_AMI,8
AEROSPACE MEDICINE,OLI_PHYSPEC_AM,7
ALLERGY,OLI_PHYSPEC_A,1
ALLERGY & IMMUN/DIAG LAB,OLI_PHYSPEC_ALI,6
ALLERGY & IMMUNOLOGY,OLI_PHYSPEC_AI,5
ANATOMIC PATHOLOGY,OLI_PHYSPEC_ATP,13
ANESTHESIOLOGY,OLI_PHYSPEC_AN,9
ANESTHESIOLOGY/PAIN MANAGEMENT,OLI_PHYSPEC_APM,10
BLOOD BANKING,OLI_PHYSPEC_BBK,14
CARDIOTHORACIC SURGERY,OLI_PHYSPEC_CTS,31
CARDIOVASCULAR DISEASE,OLI_PHYSPEC_CD,21
CHILD NEUROLOGY,OLI_PHYSPEC_CHN,24
CHILD PSYCHIATRY,OLI_PHYSPEC_CHP,25
CLINICAL BIOCHEMICAL GENETICS,OLI_PHYSPEC_CBG,15
CLINICAL CYTOGENETICS,OLI_PHYSPEC_CCG,17
CLINICAL GENETICS,OLI_PHYSPEC_CG,23
CLINICAL MOLECULAR GENETICS,OLI_PHYSPEC_CMG,27
CLINICAL NEUROPHYSIOLOGY,OLI_PHYSPEC_CN,28
CLINICAL PATHOLOGY,OLI_PHYSPEC_CLP,26
COLON & RECTAL SURGERY,OLI_PHYSPEC_CRS,30
CRANIOFACIAL SURGERY,OLI_PHYSPEC_CFS,22
CRITICAL CARE - ANESTHESIOLOGY,OLI_PHYSPEC_CCA,16
CRITICAL CARE MEDICINE,OLI_PHYSPEC_CCM,18
CRITICAL CARE - PEDIATRIC,OLI_PHYSPEC_CCP,19
CRITICAL CARE SURGERY,OLI_PHYSPEC_CCS,20
DERMATOLOGIC SURGERY,OLI_PHYSPEC_DS,37
DERMATOLOGY,OLI_PHYSPEC_D,32
DERMATOLOGY IMMUN/DIAG LAB,OLI_PHYSPEC_DDL,33
DERMATOPATHOLOGY,OLI_PHYSPEC_DMP,35
DIABETES,OLI_PHYSPEC_DIA,34
DIAGNOSTIC RADIOLOGY,OLI_PHYSPEC_DR,36
EMERGENCY/SPORTS MEDICINE,OLI_PHYSPEC_ESM,42
EMERGENCY MEDICAL TOXICOLOGY,OLI_PHYSPEC_ETX,43
EMERGENCY MEDICINE,OLI_PHYSPEC_EM,38
ENDOCRINOLOGY,OLI_PHYSPEC_END,40
EPIDEMIOLOGY,OLI_PHYSPEC_EP,41
FACIAL PLASTIC SURGERY',OLI_PHYSPEC_FPS,49
FAMILY PRAC/SPORTS MEDICINE,OLI_PHYSPEC_FSM,50
FAMILY PRACTICE,OLI_PHYSPEC_FP,46
FAMILY PRACTICE/GERIATRIC MED,OLI_PHYSPEC_FPG,47
FLEX RESIDENTS,OLI_PHYSPEC_FLX,44
FORENSIC PATHOLOGY,OLI_PHYSPEC_FOP,45
FORENSIC PSYCHIATRY,OLI_PHYSPEC_PFP,134
GASTROENTEROLOGY,OLI_PHYSPEC_GE,51
GENERAL PRACTICE,OLI_PHYSPEC_GP,53
GENERAL PREVENTIVE MEDICINE,OLI_PHYSPEC_GPM,54
GENERAL SURGERY,OLI_PHYSPEC_GS,55
GERIATRIC PSYCHIATRY,OLI_PHYSPEC_PYG,156
GYNECOLOGICAL ONCOLOGY,OLI_PHYSPEC_GO,52
GYNECOLOGY,OLI_PHYSPEC_GYN,56
HAND SURGERY,OLI_PHYSPEC_HS,62
HAND SURGERY/ORTHOPEDIC SURG,OLI_PHYSPEC_HSO,63
HAND SURGERY/PLASTIC SURGERY,OLI_PHYSPEC_HSP,64
HAND SURGERY - SURGERY,OLI_PHYSPEC_HSS,65
HEAD & NECK SURGERY,OLI_PHYSPEC_HNS,60
HEMATOLOGY,OLI_PHYSPEC_HEM,57
HEMATOLOGY/ONCOLOGY,OLI_PHYSPEC_HO,61
