value,key,tc
Absolute Cession or Assignment (collateral),OLI_REL_ABSCESS,73
Accountant,OLI_REL_ACCOUNTANT,286
Accountant's Client,OLI_REL_ACCOUNTANTCLIENT,288
Additional Compensation Recipient,OLI_REL_ADDLCOMPRECIPIENT,275
Additional Holding,OLI_REL_ADDHOLDING,124
Additional Servicing Agent,OLI_REL_ADDSERVAGT,126
Additional Writing Agent,OLI_REL_ADDWRITINGAGENT,52
Add To Form,OLI_REL_ADDTOFORM,118
Adopted Child,OLI_REL_ADOPTCHILD,224
Adoptive Parent,OLI_REL_ADOPTPARENT,223
Adoptive Sibling,OLI_REL_ADOPTIVESIBLING,306
Advisee,OLI_REL_ADVISEE,20
Advisor,OLI_REL_ADVISOR,10
Affiliated Entity,OLI_REL_AFFILENTITY,207
Affiliation with Charitable Organization,OLI_REL_CHARITY,322
Affiliation with Corporation,OLI_REL_CORPORATION,321
Affiliation with Religious Organization,OLI_REL_RELIGIOUSORG,323
Agency,OLI_REL_AGENCYOF,121
Agent,OLI_REL_AGENT,11
Agent of Agency,OLI_REL_AGENTOF,120
All but self,OLI_REL_NOTSELF,169
All Relations are acceptable,OLI_REL_ALL,1000
Alternate Holding,OLI_REL_ALTHOLDING,123
Ancillary Holding to Primary Holding,OLI_REL_ANCILLARY,253
Annuitant,OLI_REL_ANNUITANT,35
Any Relationship is Acceptable,OLI_REL_ANY,999
Applicant,OLI_REL_APPLICANT,96
As Applied,OLI_REL_ASAPPLIED,76
As Approved,OLI_REL_ASAPPROVED,77
Assigned Agent,OLI_REL_ASSIGNAGENT,39
Assignee,OLI_REL_ASSIGNEE,145
Assignee Beneficiary,OLI_REL_ASSIGNBENE,55
Assignor,OLI_REL_ASSIGNOR,312
Assistant,OLI_REL_ASSISTANT,230
Assistee,OLI_REL_ASSISTEE,231
Associated,OLI_REL_ASSOCIATED,311
Associate Member,OLI_REL_ASSOCIATEMEMBER,284
Attached Form,OLI_REL_ATTACHEDFORM,105
Attached To Form,OLI_REL_ATTACHEDTOFORM,117
Attorney,OLI_REL_ATTORNEY,287
Attorney's Client,OLI_REL_ATTORNEYCLIENT,281
Authentication Challenge/Response Questions Party,OLI_REL_CRFOR,265
Authorized Person,OLI_REL_AUTHORIZEDPERSON,150
Authorized user,OLI_REL_AUTHUSER,248
Banker,OLI_REL_BANKER,115
Banker of,OLI_REL_BANKEROF,116
Beneficiary Group Member,OLI_REL_BENEGROUPMEM,339
Billing Recipient,OLI_REL_BILLRECIPIENT,299
Biological Child,OLI_REL_BIOCHILD,263
Board Member,OLI_REL_BOARDMEM,26
Borrower,OLI_REL_BORROWER,293
Broker/Dealer,OLI_REL_BROKER,83
Business,OLI_REL_BUSINESS,156
Business Associate,OLI_REL_BUSINESSASSOCIATE,146
Business Contact,OLI_REL_BUSCONTACT,17
Business Development Specialist,OLI_REL_BDS,301
